booking_id,booking_date,check_in,check_out,room_id,room_type,guests,nights,room_rate,revenue,booking_channel,booking_status,lead_time,month,season,weekday,is_weekend
SYN-B000001,2022-11-27,2023-01-05,2023-01-09,SYN-TWI-01,Twin Room,1,4,31.91,127.64,Online travel agency,Completed,39,1,Low,Thursday,False
SYN-B000002,2022-12-15,2023-01-05,2023-01-06,SYN-FAM-01,Family Room,2,1,36.03,36.03,Online travel agency,Completed,21,1,Low,Thursday,False
SYN-B000003,2022-12-12,2023-01-06,2023-01-08,SYN-SUP-01,Superior Double,1,2,42.73,85.46,Online travel agency,Completed,25,1,Low,Friday,True
SYN-B000004,2023-01-01,2023-01-09,2023-01-14,SYN-FAM-01,Family Room,2,5,37.54,187.7,Direct,Completed,8,1,Low,Monday,False
SYN-B000005,2022-12-31,2023-01-12,2023-01-14,SYN-STA-01,Standard Double,2,2,30.49,60.98,Online travel agency,Completed,12,1,Low,Thursday,False
SYN-B000006,2023-01-10,2023-01-15,2023-01-16,SYN-STA-01,Standard Double,1,1,32.2,0.0,Online travel agency,Cancelled,5,1,Low,Sunday,False
SYN-B000007,2023-01-11,2023-01-17,2023-01-18,SYN-STA-01,Standard Double,2,1,31.3,31.3,Travel agent,Completed,6,1,Low,Tuesday,False
SYN-B000008,2022-12-08,2023-01-21,2023-01-23,SYN-SUP-01,Superior Double,2,2,39.75,79.5,Direct,Completed,44,1,Low,Saturday,True
SYN-B000009,2022-11-11,2023-01-23,2023-01-27,SYN-SUP-01,Superior Double,2,4,36.63,146.52,Online travel agency,Completed,73,1,Low,Monday,False
SYN-B000010,2023-01-19,2023-01-25,2023-01-28,SYN-TWI-01,Twin Room,1,3,32.25,96.75,Direct,Completed,6,1,Low,Wednesday,False
SYN-B000011,2023-01-19,2023-01-27,2023-01-30,SYN-STA-01,Standard Double,2,3,36.06,108.18,Direct,Completed,8,1,Low,Friday,True
SYN-B000012,2022-12-18,2023-01-29,2023-02-05,SYN-FAM-01,Family Room,2,7,36.24,253.68,Online travel agency,Completed,42,1,Low,Sunday,False
SYN-B000013,2022-12-21,2023-02-04,2023-02-05,SYN-STA-01,Standard Double,1,1,33.2,33.2,Direct,Completed,45,2,Low,Saturday,True
SYN-B000014,2023-01-24,2023-02-08,2023-02-11,SYN-FAM-01,Family Room,3,3,37.22,111.66,Direct,Completed,15,2,Low,Wednesday,False
SYN-B000015,2023-02-02,2023-02-10,2023-02-11,SYN-STA-01,Standard Double,2,1,34.9,34.9,Online travel agency,Completed,8,2,Low,Friday,True
SYN-B000016,2022-12-16,2023-02-13,2023-02-15,SYN-SUP-01,Superior Double,2,2,40.59,81.18,Direct,Completed,59,2,Low,Monday,False
SYN-B000017,2023-01-29,2023-02-15,2023-02-16,SYN-TWI-01,Twin Room,2,1,33.84,33.84,Direct,Completed,17,2,Low,Wednesday,False
SYN-B000018,2022-09-28,2023-02-16,2023-02-17,SYN-FAM-01,Family Room,2,1,34.24,34.24,Direct,Completed,141,2,Low,Thursday,False
SYN-B000019,2023-02-10,2023-02-16,2023-02-18,SYN-SUP-01,Superior Double,2,2,40.61,0.0,Online travel agency,Cancelled,6,2,Low,Thursday,False
SYN-B000020,2023-02-06,2023-02-18,2023-02-22,SYN-SUP-01,Superior Double,1,4,39.93,159.72,Online travel agency,Completed,12,2,Low,Saturday,True
SYN-B000021,2022-12-24,2023-02-25,2023-02-27,SYN-SUP-01,Superior Double,2,2,37.52,75.04,Direct,Completed,63,2,Low,Saturday,True
SYN-B000022,2023-01-22,2023-02-28,2023-03-02,SYN-STA-01,Standard Double,2,2,32.29,64.58,Online travel agency,Completed,37,2,Low,Tuesday,False
SYN-B000023,2023-01-12,2023-03-01,2023-03-02,SYN-SUP-01,Superior Double,1,1,39.91,39.91,Online travel agency,Completed,48,3,Low,Wednesday,False
SYN-B000024,2023-01-29,2023-03-03,2023-03-04,SYN-FAM-01,Family Room,3,1,40.84,40.84,Online travel agency,Completed,33,3,Low,Friday,True
SYN-B000025,2023-01-11,2023-03-05,2023-03-08,SYN-SUP-01,Superior Double,2,3,38.43,0.0,Online travel agency,Cancelled,53,3,Low,Sunday,False
SYN-B000026,2023-02-19,2023-03-08,2023-03-12,SYN-SUP-01,Superior Double,2,4,36.98,147.92,Direct,Completed,17,3,Low,Wednesday,False
SYN-B000027,2023-02-10,2023-03-10,2023-03-11,SYN-TWI-01,Twin Room,1,1,34.65,34.65,Online travel agency,Completed,28,3,Low,Friday,True
SYN-B000028,2023-03-02,2023-03-10,2023-03-16,SYN-FAM-01,Family Room,4,6,40.91,245.46,Direct,Completed,8,3,Low,Friday,True
SYN-B000029,2023-03-01,2023-03-14,2023-03-16,SYN-TWI-01,Twin Room,2,2,31.5,0.0,Online travel agency,Cancelled,13,3,Low,Tuesday,False
SYN-B000030,2022-12-30,2023-03-18,2023-03-21,SYN-STA-01,Standard Double,1,3,31.92,95.76,Direct,Completed,78,3,Low,Saturday,True
SYN-B000031,2023-02-12,2023-03-20,2023-03-22,SYN-SUP-01,Superior Double,2,2,39.58,79.16,Online travel agency,Completed,36,3,Low,Monday,False
SYN-B000032,2023-02-18,2023-03-25,2023-03-26,SYN-FAM-01,Family Room,3,1,38.95,38.95,Direct,Completed,35,3,Low,Saturday,True
SYN-B000033,2023-03-22,2023-03-25,2023-03-28,SYN-SUP-01,Superior Double,1,3,38.0,114.0,Online travel agency,Completed,3,3,Low,Saturday,True
SYN-B000034,2023-03-05,2023-03-26,2023-03-31,SYN-STA-01,Standard Double,2,5,32.74,163.7,Online travel agency,Completed,21,3,Low,Sunday,False
SYN-B000035,2023-03-01,2023-03-26,2023-03-28,SYN-TWI-01,Twin Room,2,2,35.06,70.12,Direct,Completed,25,3,Low,Sunday,False
SYN-B000036,2023-03-18,2023-03-29,2023-04-01,SYN-TWI-01,Twin Room,2,3,31.31,93.93,Direct,Completed,11,3,Low,Wednesday,False
SYN-B000037,2023-03-19,2023-03-31,2023-04-03,SYN-FAM-01,Family Room,3,3,37.64,112.92,Online travel agency,Completed,12,3,Low,Friday,True
SYN-B000038,2023-03-05,2023-04-04,2023-04-08,SYN-FAM-01,Family Room,2,4,42.05,0.0,Direct,Cancelled,30,4,Shoulder,Tuesday,False
SYN-B000039,2023-03-19,2023-04-05,2023-04-07,SYN-FAM-01,Family Room,4,2,39.89,79.78,Travel agent,Completed,17,4,Shoulder,Wednesday,False
SYN-B000040,2023-03-21,2023-04-07,2023-04-10,SYN-TWI-01,Twin Room,2,3,37.89,113.67,Travel agent,Completed,17,4,Shoulder,Friday,True
SYN-B000041,2023-03-29,2023-04-08,2023-04-09,SYN-FAM-01,Family Room,2,1,43.02,43.02,Online travel agency,Completed,10,4,Shoulder,Saturday,True
SYN-B000042,2023-04-06,2023-04-09,2023-04-14,SYN-FAM-01,Family Room,4,5,40.84,204.2,Direct,Completed,3,4,Shoulder,Sunday,False
SYN-B000043,2023-04-01,2023-04-11,2023-04-13,SYN-TWI-01,Twin Room,2,2,36.77,73.54,Direct,Completed,10,4,Shoulder,Tuesday,False
SYN-B000044,2023-04-10,2023-04-13,2023-04-17,SYN-STA-01,Standard Double,1,4,36.62,146.48,Direct,Completed,3,4,Shoulder,Thursday,False
SYN-B000045,2023-03-22,2023-04-13,2023-04-14,SYN-TWI-01,Twin Room,2,1,38.15,38.15,Online travel agency,Completed,22,4,Shoulder,Thursday,False
SYN-B000046,2023-04-04,2023-04-14,2023-04-19,SYN-TWI-01,Twin Room,1,5,38.25,0.0,Online travel agency,Cancelled,10,4,Shoulder,Friday,True
SYN-B000047,2023-04-07,2023-04-14,2023-04-16,SYN-FAM-01,Family Room,4,2,42.79,85.58,Online travel agency,Completed,7,4,Shoulder,Friday,True
SYN-B000048,2023-03-25,2023-04-15,2023-04-18,SYN-SUP-01,Superior Double,2,3,45.85,137.55,Online travel agency,Completed,21,4,Shoulder,Saturday,True
SYN-B000049,2023-03-28,2023-04-17,2023-04-20,SYN-FAM-01,Family Room,4,3,39.89,119.67,Online travel agency,Completed,20,4,Shoulder,Monday,False
SYN-B000050,2023-04-09,2023-04-19,2023-04-21,SYN-TWI-01,Twin Room,2,2,35.71,71.42,Travel agent,Completed,10,4,Shoulder,Wednesday,False
SYN-B000051,2023-04-12,2023-04-19,2023-04-21,SYN-SUP-01,Superior Double,1,2,41.77,0.0,Direct,Cancelled,7,4,Shoulder,Wednesday,False
SYN-B000052,2023-04-06,2023-04-20,2023-04-21,SYN-FAM-01,Family Room,3,1,38.59,38.59,Direct,Completed,14,4,Shoulder,Thursday,False
SYN-B000053,2023-04-15,2023-04-21,2023-04-22,SYN-FAM-01,Family Room,1,1,43.15,43.15,Direct,Completed,6,4,Shoulder,Friday,True
