booking_id,booking_date,check_in,check_out,room_id,room_type,guests,nights,room_rate,revenue,booking_channel,booking_status,lead_time
SYN-B000001,2022-12-25,2023-01-01,2023-01-05,SYN-STA-05,Standard,1.0,4,63.32,253.28,Direct,Completed,7
SYN-B000002,2022-11-23,2023-01-01,2023-01-05,SYN-STA-09,Standard,2.0,4,59.97,239.88,Online travel agency,Completed,39
SYN-B000003,2022-12-11,2023-01-01,2023-01-02,SYN-DEL-01,Deluxe,2.0,1,89.39,89.39,Online travel agency,Completed,21
SYN-B000004,2022-12-07,2023-01-01,2023-01-03,SYN-DEL-04,Deluxe,1.0,2,93.49,186.98,Online travel agency,Completed,25
SYN-B000005,2022-12-25,2023-01-02,2023-01-07,SYN-STA-06,Standard,2.0,5,63.51,317.55,Direct,Completed,8
SYN-B000006,2022-12-21,2023-01-02,2023-01-04,SYN-DEL-05,Deluxe,1.0,2,86.46,172.92,Online travel agency,Completed,12
SYN-B000007,2022-12-29,2023-01-03,2023-01-04,SYN-STA-10,Standard,2.0,1,62.26,0.0,Online travel agency,Cancelled,5
SYN-B000008,2022-12-28,2023-01-03,2023-01-04,SYN-FAM-03,Family,1.0,1,116.97,116.97,Travel agent,Completed,6
SYN-B000009,2022-12-14,2023-01-04,2023-01-07,SYN-STA-08,Standard,1.0,3,64.91,0.0,Online travel agency,Cancelled,21
SYN-B000010,2022-11-21,2023-01-04,2023-01-06,SYN-DEL-05,Deluxe,2.0,2,86.95,-1.0,Direct,Completed,44
SYN-B000011,2022-10-24,2023-01-05,2023-01-09,SYN-STA-04,Standard,2.0,4,59.02,236.08,Online travel agency,Completed,73
SYN-B000012,2022-12-30,2023-01-05,2023-01-08,SYN-STA-10,Standard,1.0,3,60.62,181.86,Direct,Completed,6
SYN-B000013,2022-12-28,2023-01-05,2023-01-08,SYN-DEL-04,Deluxe,2.0,3,94.68,284.04,Direct,Completed,8
SYN-B000014,2023-01-01,2023-01-06,2023-01-07,SYN-STA-03,Standard,1.0,1,71.8,71.8,Travel agent, completed ,5
SYN-B000015,2023-01-01,2023-01-06,2023-01-08,SYN-DEL-05,Deluxe,2.0,2,106.32,212.64,Direct,Completed,5
SYN-B000016,2022-12-30,2023-01-06,2023-01-09,SYN-FAM-01,Family,1.0,3,134.8,-1.0,Online travel agency,Completed,7
SYN-B000017,2022-11-22,2023-01-06,2023-01-07,SYN-FAM-02,Family,2.0,1,128.68,128.68,Direct,Completed,45
SYN-B000018,2022-12-28,2023-01-07,2023-01-11,SYN-STA-02, standard ,2.0,4,71.08,284.32,Direct,Completed,10
SYN-B000019,2022-12-23,2023-01-07,2023-01-10,SYN-STA-07,Standard,1.0,3,70.52,211.56,Direct,Completed,15
SYN-B000020,2022-12-30,2023-01-07,2023-01-08,SYN-DEL-02,Deluxe,2.0,1,102.63,102.63,Online travel agency,Completed,8
SYN-B000021,2022-12-28,2023-01-08,2023-01-09,SYN-DEL-04,Deluxe,2.0,1,89.22,89.22,Direct,Completed,11
SYN-B000022,2022-12-28,2023-01-09,2023-01-10,SYN-STA-03,Standard,1.0,1,62.93,0.0,Direct,Cancelled,12
SYN-B000023,2022-08-21,2023-01-09,2023-01-10,SYN-DEL-01,Deluxe,1.0,1,84.96,84.96,Direct,Completed,141
SYN-B000024,2022-12-19,2023-01-09,2023-01-11,SYN-DEL-04,Deluxe,1.0,2,95.71,191.42,Direct,Completed,21
SYN-B000025,2023-01-08,2023-01-12,2023-01-14,SYN-STA-03,Standard,1.0,2,64.5,129.0,Direct,Completed,4
SYN-B000026,2022-12-06,2023-01-12,2023-01-14,SYN-STA-09,Standard,2.0,2,62.42,124.84,Online travel agency,Completed,37
SYN-B000027,2022-11-25,2023-01-12,2023-01-13,SYN-DEL-05,Deluxe,1.0,1,94.31,94.31,Online travel agency,Completed,48
SYN-B000028,2022-12-11,2023-01-13,2023-01-14,SYN-STA-05,Standard,2.0,1,71.64,71.64,Online travel agency,Completed,33
SYN-B000029,2022-11-21,2023-01-13,2023-01-16,SYN-DEL-05,Deluxe,2.0,3,101.7,0.0,Online travel agency, cancelled ,53
SYN-B000030,2022-12-29,2023-01-14,2023-01-19,SYN-STA-04,Standard,2.0,5,65.78,328.9,Direct,Completed,16
SYN-B000031,2022-12-28,2023-01-14,2023-01-15,SYN-STA-05,Standard,2.0,1,71.03,71.03,Direct,Completed,17
SYN-B000032,2023-01-11,2023-01-14,2023-01-15,SYN-STA-06,Standard,1.0,-1,66.83,66.83,Online travel agency,Completed,3
SYN-B000033,2023-01-06,2023-01-14,2023-01-20,SYN-STA-07,Standard,2.0,6,71.77,430.62,Direct,Completed,8
SYN-B000034,2023-01-03,2023-01-14,2023-01-16,SYN-STA-09,Standard,2.0,2,70.65,141.3,Online travel agency,Completed,11
SYN-B000035,2023-01-01,2023-01-14,2023-01-16,SYN-STA-10,Standard,2.0,2,66.3,0.0,Online travel agency,Cancelled,13
SYN-B000036,2022-12-11,2023-01-14,2023-01-17,SYN-FAM-01,Family,1.0,3,129.11,387.33,Online travel agency,Completed,34
SYN-B000037,2022-12-30,2023-01-15,2023-01-16,SYN-STA-02,Standard,1.0,1,63.08,63.08,Direct,Completed,16
SYN-B000038,2022-12-10,2023-01-15,2023-01-17,SYN-DEL-01,Deluxe,2.0,2,93.51,187.02,Online travel agency,Completed,36
SYN-B000039,2023-01-05,2023-01-16,2023-01-18,SYN-FAM-03,Family,1.0,2,117.66,235.32,Direct,Completed,11
SYN-B000040,2023-01-09,2023-01-17,2023-01-21,SYN-STA-01,Standard,2.0,4,65.67,262.68,Direct,Completed,8
SYN-B000041,2022-12-23,2023-01-17,2023-01-19,SYN-DEL-01,Deluxe,2.0,2,96.66,193.32,Direct,Completed,25
SYN-B000042,2023-01-06,2023-01-17,2023-01-20,SYN-FAM-02,Family,3.0,3,113.77,341.31,Direct,Completed,11
SYN-B000043,2023-01-06,2023-01-18,2023-01-21,SYN-STA-09,Standard,2.0,3,58.95,176.85,Online travel agency,Completed,12
SYN-B000044,2022-12-20,2023-01-19,2023-01-23,SYN-STA-10,Standard,1.0,4,65.44,0.0,Direct,Cancelled,30
SYN-B000045,2023-01-02,2023-01-19,2023-01-21,SYN-DEL-04,Deluxe,2.0,2,91.05,182.1,Travel agent,Completed,17
SYN-B000046,2023-01-03,2023-01-20,2023-01-23,SYN-STA-04,Standard,2.0,3,67.95,203.85,Travel agent,Completed,17
SYN-B000047,2023-01-10,2023-01-20,2023-01-21,SYN-STA-08,Standard,1.0,1,69.43,69.43,Online travel agency,Completed,10
SYN-B000048,2023-01-17,2023-01-20,2023-01-25,SYN-DEL-02,Deluxe,2.0,5,96.05,480.25,Direct,Completed,3
SYN-B000049,2023-01-11,2023-01-21,2023-01-23,SYN-STA-01,Standard,2.0,2,71.2,142.4,Direct,Completed,10
SYN-B000050,2023-01-18,2023-01-21,2023-01-25,SYN-STA-06,Standard,1.0,4,67.12,268.48,Direct,Completed,3
SYN-B000051,2022-12-30,2023-01-21,2023-01-22,SYN-STA-07,Standard,2.0,1,73.89,73.89,Online travel agency,Completed,22
SYN-B000052,2023-01-11,2023-01-21,2023-01-26,SYN-STA-09,Standard,1.0,5,68.59,0.0,Online travel agency,Cancelled,10
SYN-B000053,2023-01-14,2023-01-21,2023-01-23,SYN-STA-10,Standard,2.0,2,69.05,138.1,Online travel agency,Completed,7
SYN-B000054,2022-12-23,2023-01-23,2023-01-27,SYN-DEL-01,Deluxe,2.0,4,86.27,0.0,Travel agent,Cancelled,31
SYN-B000055,2023-01-11,2023-01-23,2023-01-26,SYN-DEL-04,Deluxe,2.0,3,86.49,259.47,Direct,Completed,12
SYN-B000056,2023-01-18,2023-01-24,2023-01-25,SYN-STA-01,Standard,2.0,1,62.17,62.17,Direct,Completed,6
SYN-B000057,2023-01-01,2023-01-24,2023-01-27,SYN-FAM-02,Family,4.0,3,113.26,339.78,Direct,Completed,23
SYN-B000058,2023-01-22,2023-01-24,2023-01-25,SYN-FAM-03,Family,1.0,1,111.92,111.92,Direct,Completed,2
SYN-B000059,2023-01-14,2023-01-25,2023-01-28,SYN-STA-02, standard ,2.0,3,65.38,196.14,Online travel agency,Completed,11
SYN-B000060,2023-01-22,2023-01-25,2023-01-26,SYN-DEL-03,Deluxe,1.0,1,86.27,86.27,Direct,Completed,3
SYN-B000061,2023-01-20,2023-01-26,2023-01-27,SYN-STA-04,Standard,1.0,1,65.92,65.92,Direct,Completed,6
SYN-B000062,2023-01-08,2023-01-26,2023-01-29,SYN-STA-05,Standard,1.0,3,63.16,189.48,Online travel agency,Completed,18
SYN-B000063,2023-01-06,2023-01-26,2023-01-28,SYN-STA-07,Standard,1.0,2,62.96,0.0,Online travel agency,Cancelled,20
SYN-B000064,2023-01-18,2023-01-27,2023-01-30,SYN-STA-04,Standard,1.0,3,71.25,213.75,Online travel agency,Completed,9
SYN-B000065,2022-12-11,2023-01-27,2023-01-29,SYN-STA-06,Standard,1.0,2,67.31,134.62,Online travel agency,Completed,47
SYN-B000066,2022-12-12,2023-01-27,2023-01-31,SYN-DEL-05,Deluxe,1.0,4,108.14,0.0,Online travel agency,Cancelled,46
SYN-B000067,2023-01-13,2023-01-28,2023-01-30,SYN-DEL-02,Deluxe,1.0,2,100.29,200.58,Direct,Completed,15
SYN-B000068,2023-01-14,2023-01-28,2023-01-29,SYN-DEL-03,Deluxe,2.0,1,98.6,98.6,Online travel agency,Completed,14
SYN-B000069,2023-01-10,2023-01-28,2023-01-31,SYN-DEL-04,Deluxe,2.0,3,104.13,312.39,Online travel agency,Completed,18
SYN-B000070,2023-01-15,2023-01-28,2023-01-30,SYN-DEL-05,Deluxe,1.0,2,108.2,216.4,Online travel agency,Completed,13
SYN-B000071,2022-12-19,2023-01-28,2023-01-29,SYN-FAM-03,Family,3.0,1,140.39,0.0,Online travel agency,Cancelled,40
SYN-B000072,2023-01-15,2023-01-30,2023-02-01,SYN-STA-01,Standard,2.0,2,61.6,0.0,Online travel agency,Cancelled,-1
SYN-B000073,2023-01-08,2023-01-31,2023-02-04,SYN-STA-04,Standard,1.0,4,58.74,234.96,Direct,Completed,23
SYN-B000074,2023-01-18,2023-02-01,2023-02-04,SYN-STA-01,Standard,1.0,3,65.42,196.26,Online travel agency,Completed,14
SYN-B000075,2023-01-01,2023-02-01,2023-02-04,SYN-STA-05,Standard,1.0,3,63.24,189.72,Direct,Completed,31
SYN-B000076,2023-01-22,2023-02-01,2023-02-06,SYN-FAM-03,Family,2.0,5,118.42,592.1,Direct,Completed,10
SYN-B000077,2023-01-08,2023-02-02,2023-02-03,SYN-DEL-05,Deluxe,2.0,1,86.04,86.04,Online travel agency,Completed,25
SYN-B000078,2023-01-23,2023-02-03,2023-02-05,SYN-STA-03,Standard,1.0,2,71.18,142.36,Direct,Completed,11
SYN-B000079,2023-01-20,2023-02-03,2023-02-08,SYN-STA-07,Standard,1.0,5,68.88,344.4,Direct,Completed,14
