booking_month,total_bookings
2022-08,1
2022-09,0
2022-10,1
2022-11,6
2022-12,43
2023-01,82
2023-02,89
2023-03,141
2023-04,146
2023-05,196
2023-06,131
2023-07,115
2023-08,121
2023-09,118
2023-10,108
2023-11,84
2023-12,88
2024-01,91
2024-02,84
2024-03,146
2024-04,139
2024-05,171
2024-06,146
2024-07,114
2024-08,119
2024-09,132
2024-10,96
2024-11,81
2024-12,91
2025-01,66
2025-02,101
2025-03,136
2025-04,137
2025-05,179
2025-06,130
2025-07,127
2025-08,119
2025-09,111
2025-10,104
2025-11,85
2025-12,51
