month_number,revenue,room_nights,available_room_nights,adr,occupancy_rate,revpar
1,37536.600000,454,1674,82.679736,0.271207,22.423297
2,41058.780000,481,1530,85.361289,0.314379,26.835804
3,59855.130000,588,1674,101.794439,0.351254,35.755753
4,78445.120000,758,1620,103.489604,0.467901,48.422914
5,100916.990000,977,1674,103.292723,0.583632,60.284940
6,168860.130000,1253,1620,134.764669,0.773457,104.234648
7,195073.110000,1443,1674,135.185800,0.862007,116.531129
8,193362.440000,1427,1674,135.502761,0.852449,115.509223
9,112830.710000,1045,1620,107.971971,0.645062,69.648586
10,92247.230000,866,1674,106.521051,0.517324,55.105872
11,57623.600000,540,1620,106.710370,0.333333,35.570123
12,54017.290000,636,1674,84.932846,0.379928,32.268393
