stay_date,room_type,revenue,room_nights,available_room_nights,month,year,month_number,season,day_type
2023-01-01,Standard Double,0.000000,0,1,2023-01,2023,1,Low,Weekday
2023-01-01,Twin Room,0.000000,0,1,2023-01,2023,1,Low,Weekday
2023-01-01,Family Room,0.000000,0,1,2023-01,2023,1,Low,Weekday
2023-01-01,Superior Double,0.000000,0,1,2023-01,2023,1,Low,Weekday
2023-01-02,Standard Double,0.000000,0,1,2023-01,2023,1,Low,Weekday
2023-01-02,Twin Room,0.000000,0,1,2023-01,2023,1,Low,Weekday
2023-01-02,Family Room,0.000000,0,1,2023-01,2023,1,Low,Weekday
2023-01-02,Superior Double,0.000000,0,1,2023-01,2023,1,Low,Weekday
2023-01-03,Standard Double,0.000000,0,1,2023-01,2023,1,Low,Weekday
2023-01-03,Twin Room,0.000000,0,1,2023-01,2023,1,Low,Weekday
2023-01-03,Family Room,0.000000,0,1,2023-01,2023,1,Low,Weekday
2023-01-03,Superior Double,0.000000,0,1,2023-01,2023,1,Low,Weekday
2023-01-04,Standard Double,0.000000,0,1,2023-01,2023,1,Low,Weekday
2023-01-04,Twin Room,0.000000,0,1,2023-01,2023,1,Low,Weekday
2023-01-04,Family Room,0.000000,0,1,2023-01,2023,1,Low,Weekday
2023-01-04,Superior Double,0.000000,0,1,2023-01,2023,1,Low,Weekday
2023-01-05,Standard Double,0.000000,0,1,2023-01,2023,1,Low,Weekday
2023-01-05,Twin Room,31.910000,1,1,2023-01,2023,1,Low,Weekday
2023-01-05,Family Room,36.030000,1,1,2023-01,2023,1,Low,Weekday
2023-01-05,Superior Double,0.000000,0,1,2023-01,2023,1,Low,Weekday
2023-01-06,Standard Double,0.000000,0,1,2023-01,2023,1,Low,Weekend
2023-01-06,Twin Room,31.910000,1,1,2023-01,2023,1,Low,Weekend
2023-01-06,Family Room,0.000000,0,1,2023-01,2023,1,Low,Weekend
2023-01-06,Superior Double,42.730000,1,1,2023-01,2023,1,Low,Weekend
2023-01-07,Standard Double,0.000000,0,1,2023-01,2023,1,Low,Weekend
2023-01-07,Twin Room,31.910000,1,1,2023-01,2023,1,Low,Weekend
2023-01-07,Family Room,0.000000,0,1,2023-01,2023,1,Low,Weekend
2023-01-07,Superior Double,42.730000,1,1,2023-01,2023,1,Low,Weekend
2023-01-08,Standard Double,0.000000,0,1,2023-01,2023,1,Low,Weekday
2023-01-08,Twin Room,31.910000,1,1,2023-01,2023,1,Low,Weekday
2023-01-08,Family Room,0.000000,0,1,2023-01,2023,1,Low,Weekday
2023-01-08,Superior Double,0.000000,0,1,2023-01,2023,1,Low,Weekday
2023-01-09,Standard Double,0.000000,0,1,2023-01,2023,1,Low,Weekday
2023-01-09,Twin Room,0.000000,0,1,2023-01,2023,1,Low,Weekday
