month,revenue,room_nights,available_room_nights,adr,occupancy_rate,revpar,total_bookings,completed_bookings,cancelled_bookings
2023-01,1068.780000,30,124,35.626000,0.241935,8.619194,12,11,1
2023-02,741.030000,20,112,37.051500,0.178571,6.616339,10,9,1
2023-03,1234.330000,34,124,36.303824,0.274194,9.954274,15,13,2
2023-04,1860.350000,48,120,38.757292,0.400000,15.502917,25,21,4
2023-05,2069.580000,52,124,39.799615,0.419355,16.690161,28,22,6
2023-06,4728.340000,98,120,48.248367,0.816667,39.402833,30,28,2
2023-07,4782.990000,101,124,47.356337,0.814516,38.572500,29,27,2
2023-08,4716.310000,96,124,49.128229,0.774194,38.034758,30,24,6
2023-09,4093.690000,84,120,48.734405,0.700000,34.114083,31,27,4
2023-10,1482.230000,36,124,41.173056,0.290323,11.953468,22,17,5
2023-11,1022.420000,28,120,36.515000,0.233333,8.520167,13,11,2
2023-12,1676.610000,47,124,35.672553,0.379032,13.521048,19,17,2
2024-01,781.390000,22,124,35.517727,0.177419,6.301532,9,8,1
2024-02,1156.900000,32,116,36.153125,0.275862,9.973276,17,13,4
2024-03,1050.330000,29,124,36.218276,0.233871,8.470403,13,10,3
2024-04,1685.590000,42,120,40.133095,0.350000,14.046583,21,16,5
2024-05,2485.270000,62,124,40.085000,0.500000,20.042500,25,23,2
2024-06,4620.470000,92,120,50.222500,0.766667,38.503917,37,29,8
2024-07,5050.290000,101,124,50.002871,0.814516,40.728145,35,34,1
2024-08,4903.060000,100,124,49.030600,0.806452,39.540806,37,31,6
2024-09,3492.440000,71,120,49.189296,0.591667,29.103667,27,21,6
2024-10,2384.390000,58,124,41.110172,0.467742,19.228952,24,19,5
2024-11,1148.280000,30,120,38.276000,0.250000,9.569000,12,12,0
2024-12,1503.760000,40,124,37.594000,0.322581,12.127097,17,15,2
2025-01,769.880000,21,124,36.660952,0.169355,6.208710,13,10,3
2025-02,1199.540000,31,112,38.694839,0.276786,10.710179,13,10,3
2025-03,1280.770000,34,124,37.669706,0.274194,10.328790,14,12,2
2025-04,1733.890000,44,120,39.406591,0.366667,14.449083,21,18,3
2025-05,2296.700000,55,124,41.758182,0.443548,18.521774,24,21,3
2025-06,4561.820000,89,120,51.256404,0.741667,38.015167,32,28,4
2025-07,5360.520000,107,124,50.098318,0.862903,43.230000,36,31,5
2025-08,5117.760000,105,124,48.740571,0.846774,41.272258,28,27,1
2025-09,4687.790000,93,120,50.406344,0.775000,39.064917,26,22,4
2025-10,2066.410000,48,124,43.050208,0.387097,16.664597,17,15,2
2025-11,1451.160000,39,120,37.209231,0.325000,12.093000,18,16,2
2025-12,918.050000,25,124,36.722000,0.201613,7.403629,12,11,1
