room_type,lead_time_band,completed_bookings,room_nights,revenue,adr
Deluxe,0–7 days,163,433,52297.310000,120.779007
Deluxe,8–30 days,575,1641,210692.650000,128.392840
Deluxe,31–60 days,171,499,68163.430000,136.600060
Deluxe,61+ days,101,310,42808.030000,138.090419
Family,0–7 days,92,212,34209.140000,161.363868
Family,8–30 days,335,992,170231.040000,171.603871
Family,31–60 days,123,355,66158.480000,186.361915
Family,61+ days,46,150,27031.470000,180.209800
Standard,0–7 days,341,926,76481.270000,82.593164
Standard,8–30 days,1154,3271,287951.540000,88.031654
Standard,31–60 days,367,1073,99793.090000,93.003812
Standard,61+ days,187,606,56009.680000,92.425215
