season,room_type,revenue,room_nights,available_room_nights,adr,occupancy_rate,revpar
Autumn,Deluxe,83417.860000,674,1365,123.765371,0.493773,61.111985
Autumn,Family,61303.160000,377,819,162.607851,0.460317,74.851233
Autumn,Standard,117980.520000,1400,2730,84.271800,0.512821,43.216308
Spring,Deluxe,73306.450000,619,1380,118.427221,0.448551,53.120616
Spring,Family,59804.370000,383,828,156.147180,0.462560,72.227500
Spring,Standard,106106.420000,1321,2760,80.322801,0.478623,38.444355
Summer,Deluxe,172087.930000,1129,1380,152.425093,0.818116,124.701399
Summer,Family,148923.020000,735,828,202.616354,0.887681,179.858720
Summer,Standard,236284.730000,2259,2760,104.597047,0.818478,85.610409
Winter,Deluxe,45149.180000,461,1355,97.937484,0.340221,33.320428
Winter,Family,27599.580000,214,813,128.970000,0.263223,33.947823
Winter,Standard,59863.910000,896,2710,66.812400,0.330627,22.090004
